epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.99975,1.07767,1.7672,1.40002,1,0.84248,0.98896,0.6761,0.96128,2.04209,1.22117,0.0005,0.0005,0.0005
2,4.91608,0.93437,1.14862,1.26907,0.74838,0.84065,0.8926,0.66519,0.81835,1.58018,1.24726,0.00101327,0.00101327,0.00101327
3,6.79938,0.94105,1.00722,1.28832,0.8894,0.87415,0.9319,0.67809,0.8704,1.39719,1.26061,0.00151967,0.00151967,0.00151967
4,8.67367,0.98099,0.94722,1.29252,0.77742,0.91304,0.90323,0.64286,0.97252,1.58297,1.43198,0.0019604,0.0019604,0.0019604
5,10.5445,0.99074,0.94441,1.29449,0.85213,0.95652,0.95365,0.65566,1.00337,1.63326,1.37772,0.0019472,0.0019472,0.0019472
6,12.4064,1.00548,0.89984,1.31051,0.85033,1,0.96726,0.74777,0.84192,1.42939,1.21285,0.001934,0.001934,0.001934
7,14.2718,0.90125,0.81596,1.24044,0.91926,0.99012,0.98923,0.83641,0.68508,0.66781,1.04264,0.0019208,0.0019208,0.0019208
8,16.1403,0.91625,0.74133,1.22521,0.93361,0.95652,0.95719,0.73647,0.85539,1.10658,1.18513,0.0019076,0.0019076,0.0019076
9,18.0008,0.89864,0.74644,1.22765,0.77569,0.90224,0.93352,0.59046,1.17986,1.36818,1.5057,0.0018944,0.0018944,0.0018944
10,19.8681,0.89108,0.68614,1.21798,0.95492,0.92119,0.98268,0.72932,0.88151,0.70352,1.16567,0.0018812,0.0018812,0.0018812
11,21.7245,0.90331,0.69677,1.23904,0.91294,0.93478,0.95188,0.68982,0.97486,0.73717,1.24997,0.001868,0.001868,0.001868
12,23.5967,0.91928,0.70611,1.24843,0.97711,0.928,0.98975,0.82929,0.64742,0.55589,1.00533,0.0018548,0.0018548,0.0018548
13,25.4569,0.90014,0.66528,1.22582,0.98684,0.95652,0.99255,0.79252,0.71954,0.5364,1.0346,0.0018416,0.0018416,0.0018416
14,27.3202,0.901,0.67668,1.23529,0.95327,0.97826,0.99122,0.70175,0.95228,0.66688,1.22966,0.0018284,0.0018284,0.0018284
15,29.1727,0.87974,0.65072,1.22163,0.96837,1,0.99287,0.79074,0.79688,0.51224,1.09065,0.0018152,0.0018152,0.0018152
16,31.0426,0.82381,0.61144,1.17282,0.97627,1,0.99415,0.75649,0.87563,0.49672,1.12588,0.001802,0.001802,0.001802
17,32.8949,0.85345,0.59484,1.20219,1,0.97048,0.97621,0.78588,0.76185,0.43989,1.04151,0.0017888,0.0017888,0.0017888
18,34.7596,0.81939,0.60441,1.18846,0.97428,1,0.99415,0.75455,0.84365,0.65436,1.08277,0.0017756,0.0017756,0.0017756
19,36.6185,0.81478,0.5871,1.17443,0.96376,0.97826,0.9889,0.83582,0.63153,0.89812,1.02433,0.0017624,0.0017624,0.0017624
20,38.4981,0.81512,0.56832,1.17074,0.99253,1,0.995,0.80805,0.66294,0.46007,0.98896,0.0017492,0.0017492,0.0017492
21,40.3468,0.83373,0.60033,1.19466,0.98982,1,0.995,0.73948,0.97025,0.4734,1.18993,0.001736,0.001736,0.001736
22,42.2202,0.82039,0.56657,1.17632,0.99844,1,0.995,0.79377,0.81357,0.46124,1.06115,0.0017228,0.0017228,0.0017228
23,44.0761,0.82814,0.56417,1.18053,0.97776,0.9558,0.98515,0.76267,0.80459,0.45181,1.04871,0.0017096,0.0017096,0.0017096
24,45.9412,0.80595,0.57088,1.16635,0.99906,0.97826,0.99304,0.7012,1.00119,0.54444,1.22256,0.0016964,0.0016964,0.0016964
25,47.8058,0.79777,0.56091,1.17011,0.93308,1,0.99081,0.7296,0.907,0.62576,1.11727,0.0016832,0.0016832,0.0016832
26,49.673,0.82023,0.55737,1.17628,0.9787,0.99877,0.99457,0.7768,0.78282,0.48507,1.06531,0.00167,0.00167,0.00167
27,51.5398,0.78755,0.54303,1.15801,0.97725,1,0.9933,0.82998,0.66675,0.41066,0.9666,0.0016568,0.0016568,0.0016568
28,53.4096,0.78902,0.54783,1.1588,0.99702,1,0.995,0.81432,0.72616,0.41456,1.02649,0.0016436,0.0016436,0.0016436
29,55.2575,0.80001,0.54675,1.17192,0.99839,1,0.995,0.7695,0.82709,0.45169,1.08045,0.0016304,0.0016304,0.0016304
30,57.1154,0.79557,0.53099,1.16184,0.91933,1,0.9912,0.82739,0.72341,0.4417,1.00135,0.0016172,0.0016172,0.0016172
31,58.9795,0.80148,0.53211,1.16649,1,0.97177,0.99417,0.77922,0.83089,0.44988,1.04899,0.001604,0.001604,0.001604
32,60.8435,0.77003,0.51712,1.14351,0.99615,0.97826,0.99417,0.77752,0.9032,0.46318,1.08729,0.0015908,0.0015908,0.0015908
33,62.7344,0.79604,0.52959,1.15649,0.97565,1,0.99415,0.80346,0.77394,0.393,1.00642,0.0015776,0.0015776,0.0015776
34,64.6317,0.76669,0.52,1.14532,1,0.99284,0.995,0.82464,0.67976,0.411,0.98177,0.0015644,0.0015644,0.0015644
35,66.5551,0.79081,0.52583,1.16624,0.97867,0.99733,0.99457,0.84042,0.6768,0.37316,0.95765,0.0015512,0.0015512,0.0015512
36,68.474,0.76958,0.5191,1.14754,0.99572,1,0.995,0.76928,0.83365,0.40908,1.09185,0.001538,0.001538,0.001538
37,70.3762,0.7721,0.52039,1.1534,0.97459,1,0.99457,0.78548,0.84691,0.42279,1.10333,0.0015248,0.0015248,0.0015248
38,72.2722,0.76613,0.49359,1.14592,0.97274,1,0.99372,0.77641,0.84143,0.43973,1.07107,0.0015116,0.0015116,0.0015116
39,74.1855,0.76471,0.51164,1.15039,0.97426,1,0.99415,0.86215,0.57405,0.36707,0.92791,0.0014984,0.0014984,0.0014984
40,76.1387,0.75713,0.49116,1.14454,0.97785,1,0.995,0.78609,0.8208,0.41868,1.09225,0.0014852,0.0014852,0.0014852
41,78.0453,0.76436,0.50607,1.13964,0.99733,1,0.995,0.83166,0.63976,0.38724,0.96817,0.001472,0.001472,0.001472
42,79.9827,0.74825,0.50694,1.13266,0.99949,1,0.995,0.78951,0.8062,0.38536,1.04826,0.0014588,0.0014588,0.0014588
43,81.9266,0.73765,0.49577,1.13308,0.99862,0.95652,0.9926,0.77407,0.82117,0.43956,1.07738,0.0014456,0.0014456,0.0014456
44,83.8296,0.7332,0.48336,1.1162,0.97591,1,0.99457,0.82981,0.68418,0.38012,0.97965,0.0014324,0.0014324,0.0014324
45,85.7283,0.72254,0.48398,1.12645,0.99155,1,0.995,0.76767,0.84289,0.42032,1.07949,0.0014192,0.0014192,0.0014192
46,87.7038,0.73706,0.49359,1.13429,0.9963,1,0.995,0.83234,0.68816,0.36817,0.97493,0.001406,0.001406,0.001406
47,89.6333,0.73466,0.47636,1.12073,0.99547,1,0.995,0.82438,0.67226,0.36234,0.96594,0.0013928,0.0013928,0.0013928
48,91.5584,0.74195,0.48114,1.13436,0.97754,1,0.995,0.84231,0.6384,0.34985,0.9817,0.0013796,0.0013796,0.0013796
49,93.4695,0.72271,0.46672,1.11564,0.99804,1,0.995,0.84674,0.63101,0.32641,0.97698,0.0013664,0.0013664,0.0013664
50,95.388,0.71593,0.45964,1.11477,0.99859,0.97826,0.99086,0.7925,0.79819,0.43114,1.09708,0.0013532,0.0013532,0.0013532
51,97.2865,0.74741,0.4558,1.14181,1,0.99219,0.995,0.85183,0.65094,0.3309,0.95955,0.00134,0.00134,0.00134
52,99.1948,0.70478,0.4532,1.10814,0.99618,0.97826,0.98079,0.81353,0.7304,0.35699,1.02355,0.0013268,0.0013268,0.0013268
53,101.096,0.70881,0.4552,1.10983,0.99736,1,0.995,0.8358,0.68658,0.3536,1.00873,0.0013136,0.0013136,0.0013136
54,103.008,0.71044,0.46991,1.11057,1,0.97706,0.99304,0.86161,0.57416,0.34315,0.90778,0.0013004,0.0013004,0.0013004
55,104.897,0.72388,0.46431,1.12413,0.96979,1,0.99287,0.83623,0.71314,0.37281,0.97269,0.0012872,0.0012872,0.0012872
56,106.798,0.72714,0.47218,1.11805,0.99842,1,0.995,0.77336,0.89641,0.38436,1.1048,0.001274,0.001274,0.001274
57,108.689,0.6982,0.45538,1.10918,0.99859,1,0.995,0.77949,0.83438,0.36644,1.05882,0.0012608,0.0012608,0.0012608
58,110.587,0.69641,0.43951,1.10871,0.99832,1,0.995,0.80466,0.75782,0.38913,1.01824,0.0012476,0.0012476,0.0012476
59,112.486,0.70068,0.43735,1.10459,0.95518,0.97826,0.99248,0.76956,0.86558,0.40456,1.06759,0.0012344,0.0012344,0.0012344
60,114.393,0.69924,0.45526,1.11545,1,0.99429,0.995,0.83114,0.65473,0.3537,0.96825,0.0012212,0.0012212,0.0012212
61,116.283,0.70959,0.45532,1.10997,0.97569,1,0.99372,0.86262,0.6018,0.34519,0.93691,0.001208,0.001208,0.001208
62,118.208,0.68399,0.4431,1.10044,0.99771,1,0.995,0.8259,0.72701,0.34762,1.01741,0.0011948,0.0011948,0.0011948
63,120.099,0.7089,0.45384,1.11357,0.99877,1,0.995,0.85843,0.57216,0.31312,0.92766,0.0011816,0.0011816,0.0011816
64,122.013,0.69431,0.43541,1.09931,0.99349,1,0.995,0.89536,0.4833,0.30516,0.88004,0.0011684,0.0011684,0.0011684
65,123.905,0.68889,0.44108,1.09246,0.99602,1,0.995,0.89168,0.49464,0.28886,0.87425,0.0011552,0.0011552,0.0011552
66,125.809,0.68472,0.43369,1.10073,0.99795,1,0.995,0.83069,0.68561,0.3327,0.95605,0.001142,0.001142,0.001142
67,127.716,0.66146,0.43552,1.08135,0.99837,1,0.995,0.89179,0.46073,0.29208,0.85978,0.0011288,0.0011288,0.0011288
68,129.609,0.6558,0.43507,1.0907,0.99787,1,0.995,0.88476,0.49531,0.311,0.87497,0.0011156,0.0011156,0.0011156
69,131.504,0.66152,0.43253,1.09205,0.99839,1,0.995,0.88212,0.58131,0.34832,0.90739,0.0011024,0.0011024,0.0011024
70,133.406,0.69114,0.45712,1.10228,0.95684,1,0.99333,0.90206,0.47318,0.3097,0.87403,0.0010892,0.0010892,0.0010892
71,135.307,0.65897,0.42888,1.07768,1,0.99074,0.995,0.89224,0.52447,0.30204,0.90146,0.001076,0.001076,0.001076
72,137.212,0.65326,0.4314,1.07748,0.98238,0.95652,0.99333,0.88151,0.52126,0.30577,0.92603,0.0010628,0.0010628,0.0010628
73,139.114,0.65522,0.42848,1.08281,0.99627,1,0.995,0.85263,0.62627,0.33325,0.95946,0.0010496,0.0010496,0.0010496
74,141.026,0.63982,0.42762,1.07849,0.99769,1,0.995,0.8432,0.61422,0.32333,0.93021,0.0010364,0.0010364,0.0010364
75,142.92,0.65154,0.41607,1.08798,0.99826,1,0.995,0.84252,0.71141,0.3455,0.97726,0.0010232,0.0010232,0.0010232
76,144.821,0.63161,0.41503,1.07669,0.99881,1,0.995,0.89863,0.44182,0.28296,0.8422,0.00101,0.00101,0.00101
77,146.71,0.62424,0.4049,1.07516,0.99624,1,0.995,0.88713,0.55794,0.32501,0.91649,0.0009968,0.0009968,0.0009968
78,148.605,0.64336,0.43388,1.08243,0.99865,1,0.995,0.90217,0.48785,0.28529,0.87052,0.0009836,0.0009836,0.0009836
79,150.5,0.62491,0.40928,1.07481,0.99868,1,0.995,0.85949,0.62059,0.29908,0.93541,0.0009704,0.0009704,0.0009704
80,152.41,0.63448,0.42012,1.0704,0.99843,1,0.995,0.87536,0.54487,0.29428,0.91682,0.0009572,0.0009572,0.0009572
81,154.31,0.62376,0.40899,1.06841,0.97674,1,0.99223,0.89596,0.46868,0.30715,0.85773,0.000944,0.000944,0.000944
82,156.223,0.61159,0.40072,1.05432,0.99863,1,0.995,0.91496,0.43768,0.26292,0.85878,0.0009308,0.0009308,0.0009308
83,158.129,0.65117,0.41736,1.07938,0.99875,1,0.995,0.8737,0.5514,0.29081,0.91866,0.0009176,0.0009176,0.0009176
84,160.037,0.62182,0.40559,1.0675,0.99755,1,0.995,0.91115,0.43597,0.27193,0.83983,0.0009044,0.0009044,0.0009044
85,161.938,0.63694,0.40451,1.07124,0.954,0.97826,0.99291,0.91803,0.41624,0.2813,0.84245,0.0008912,0.0008912,0.0008912
86,163.848,0.63243,0.41815,1.07752,1,0.99218,0.995,0.91138,0.45994,0.29037,0.8431,0.000878,0.000878,0.000878
87,165.759,0.60165,0.41043,1.0657,0.99871,1,0.995,0.88858,0.49924,0.29255,0.86637,0.0008648,0.0008648,0.0008648
88,167.672,0.59817,0.38935,1.04808,0.99862,1,0.995,0.87558,0.51819,0.28573,0.88831,0.0008516,0.0008516,0.0008516
89,169.57,0.59867,0.40692,1.05758,0.9728,1,0.99457,0.91233,0.46476,0.28492,0.85411,0.0008384,0.0008384,0.0008384
90,171.49,0.59656,0.38787,1.05162,0.97852,0.9906,0.99457,0.90375,0.50379,0.30207,0.86108,0.0008252,0.0008252,0.0008252
91,173.396,0.60673,0.38907,1.06029,0.95827,1,0.995,0.92515,0.41571,0.27473,0.82199,0.000812,0.000812,0.000812
92,175.31,0.60238,0.40265,1.05761,0.97517,1,0.99457,0.88537,0.56298,0.30151,0.89564,0.0007988,0.0007988,0.0007988
93,177.201,0.58025,0.38351,1.04348,0.97745,1,0.99372,0.90534,0.45245,0.25235,0.85102,0.0007856,0.0007856,0.0007856
94,179.109,0.59849,0.38021,1.04842,0.99854,1,0.995,0.93229,0.39175,0.25667,0.83362,0.0007724,0.0007724,0.0007724
95,181.006,0.58802,0.37375,1.04841,0.97868,1,0.995,0.91176,0.41201,0.25663,0.83826,0.0007592,0.0007592,0.0007592
96,182.923,0.60245,0.39113,1.05776,0.99424,1,0.995,0.92634,0.40833,0.25688,0.83398,0.000746,0.000746,0.000746
97,184.826,0.56084,0.36767,1.03186,0.99793,1,0.995,0.93818,0.35492,0.26395,0.80887,0.0007328,0.0007328,0.0007328
98,186.742,0.56591,0.35887,1.03941,0.99802,1,0.995,0.93618,0.39598,0.25218,0.81084,0.0007196,0.0007196,0.0007196
99,188.631,0.55063,0.3588,1.04034,0.97702,1,0.99372,0.94052,0.37412,0.25512,0.80661,0.0007064,0.0007064,0.0007064
100,190.538,0.57176,0.35882,1.04023,0.99978,1,0.995,0.90955,0.45907,0.26097,0.85991,0.0006932,0.0006932,0.0006932
101,192.435,0.57328,0.37532,1.0476,0.99872,1,0.995,0.94236,0.41709,0.24476,0.83502,0.00068,0.00068,0.00068
102,194.338,0.54855,0.36703,1.04552,0.99852,1,0.995,0.92989,0.40909,0.24222,0.8232,0.0006668,0.0006668,0.0006668
103,196.241,0.54297,0.3495,1.02466,0.99868,1,0.995,0.94646,0.38705,0.24949,0.81388,0.0006536,0.0006536,0.0006536
104,198.154,0.57328,0.37535,1.04235,0.99506,1,0.995,0.93512,0.39029,0.27434,0.82102,0.0006404,0.0006404,0.0006404
105,200.054,0.5611,0.37373,1.03676,0.99866,1,0.995,0.93379,0.37318,0.25267,0.81766,0.0006272,0.0006272,0.0006272
106,201.967,0.54634,0.36457,1.03681,0.99778,1,0.995,0.92859,0.394,0.24114,0.82159,0.000614,0.000614,0.000614
107,203.868,0.56506,0.37223,1.04746,0.99884,1,0.995,0.91817,0.42621,0.23876,0.83478,0.0006008,0.0006008,0.0006008
108,205.764,0.55685,0.36755,1.04269,0.99832,1,0.995,0.91687,0.42494,0.25046,0.84421,0.0005876,0.0005876,0.0005876
109,207.66,0.57054,0.37315,1.04201,0.99766,1,0.995,0.92892,0.40457,0.24375,0.83012,0.0005744,0.0005744,0.0005744
110,209.554,0.55479,0.36062,1.04208,0.99839,1,0.995,0.92644,0.40173,0.23089,0.82274,0.0005612,0.0005612,0.0005612
111,211.449,0.56158,0.35774,1.04791,0.99805,1,0.995,0.94242,0.38825,0.23206,0.81774,0.000548,0.000548,0.000548
112,213.344,0.53935,0.35618,1.03279,0.9982,1,0.995,0.92811,0.39826,0.25812,0.82999,0.0005348,0.0005348,0.0005348
113,215.247,0.54371,0.35646,1.01659,0.99757,1,0.995,0.93707,0.3834,0.24101,0.82138,0.0005216,0.0005216,0.0005216
114,217.149,0.55055,0.34872,1.02959,0.9988,1,0.995,0.94279,0.36717,0.22811,0.80779,0.0005084,0.0005084,0.0005084
115,219.054,0.53956,0.35513,1.03891,0.99883,1,0.995,0.93074,0.3844,0.22376,0.82539,0.0004952,0.0004952,0.0004952
116,220.958,0.54545,0.34833,1.01918,0.99885,1,0.995,0.91619,0.43998,0.24482,0.84069,0.000482,0.000482,0.000482
117,222.847,0.51573,0.35221,1.02477,0.99889,1,0.995,0.92355,0.40057,0.22928,0.8352,0.0004688,0.0004688,0.0004688
118,224.746,0.52976,0.35731,1.02133,0.99874,1,0.995,0.93452,0.38461,0.22702,0.81672,0.0004556,0.0004556,0.0004556
119,226.632,0.5348,0.34213,1.02452,0.99874,1,0.995,0.93121,0.41199,0.22522,0.82735,0.0004424,0.0004424,0.0004424
120,228.538,0.54391,0.35165,1.02452,0.99878,1,0.995,0.95199,0.3556,0.21457,0.81482,0.0004292,0.0004292,0.0004292
121,230.451,0.52216,0.3416,1.01841,0.99876,1,0.995,0.92965,0.41602,0.23968,0.8307,0.000416,0.000416,0.000416
122,232.356,0.53181,0.34775,1.02542,0.99874,1,0.995,0.92742,0.38305,0.22588,0.82076,0.0004028,0.0004028,0.0004028
123,234.258,0.53759,0.34527,1.01896,0.9955,1,0.995,0.95242,0.34657,0.21197,0.81656,0.0003896,0.0003896,0.0003896
124,236.168,0.53818,0.36268,1.03854,0.99875,1,0.995,0.92132,0.42293,0.22446,0.83798,0.0003764,0.0003764,0.0003764
125,238.067,0.48931,0.32572,1.00313,0.99878,1,0.995,0.95135,0.35031,0.228,0.81679,0.0003632,0.0003632,0.0003632
126,239.977,0.51126,0.34409,1.02085,0.99877,1,0.995,0.9236,0.4322,0.23751,0.83657,0.00035,0.00035,0.00035
127,241.871,0.50169,0.32915,1.02113,0.99876,1,0.995,0.93135,0.39031,0.22463,0.82601,0.0003368,0.0003368,0.0003368
128,243.772,0.49178,0.32723,1.00712,0.99876,1,0.995,0.94326,0.34363,0.21158,0.80962,0.0003236,0.0003236,0.0003236
129,245.678,0.52043,0.34281,1.02366,0.9988,1,0.995,0.9468,0.37377,0.21896,0.81726,0.0003104,0.0003104,0.0003104
130,247.571,0.52412,0.34982,1.01858,0.99873,1,0.995,0.94508,0.36486,0.22942,0.81756,0.0002972,0.0002972,0.0002972
131,249.469,0.51046,0.32912,1.02722,0.99791,1,0.995,0.9464,0.37652,0.22528,0.82934,0.000284,0.000284,0.000284
132,251.38,0.49591,0.3286,1.00635,0.99875,1,0.995,0.935,0.38472,0.22426,0.8271,0.0002708,0.0002708,0.0002708
133,253.276,0.51093,0.32457,1.02588,0.99874,1,0.995,0.93857,0.39705,0.22347,0.82746,0.0002576,0.0002576,0.0002576
134,255.185,0.51166,0.32975,1.01316,0.99875,1,0.995,0.93888,0.37898,0.22744,0.81946,0.0002444,0.0002444,0.0002444
135,257.099,0.49053,0.32926,1.00352,0.9988,1,0.995,0.94363,0.36493,0.21277,0.81392,0.0002312,0.0002312,0.0002312
136,258.984,0.51648,0.32719,1.02116,0.9988,1,0.995,0.94491,0.37307,0.20896,0.8132,0.000218,0.000218,0.000218
137,260.895,0.49604,0.31651,1.01558,0.9988,1,0.995,0.9259,0.39116,0.2239,0.8211,0.0002048,0.0002048,0.0002048
138,262.786,0.50234,0.33577,1.00561,0.99878,1,0.995,0.93998,0.35812,0.21625,0.81635,0.0001916,0.0001916,0.0001916
139,264.681,0.51898,0.33537,1.03028,0.99876,1,0.995,0.93558,0.37053,0.2142,0.82287,0.0001784,0.0001784,0.0001784
140,266.596,0.51028,0.32791,1.01876,0.99879,1,0.995,0.93773,0.36353,0.21538,0.82029,0.0001652,0.0001652,0.0001652
141,268.896,0.35021,0.20937,0.89299,0.97849,1,0.995,0.93634,0.34557,0.21382,0.80824,0.000152,0.000152,0.000152
142,270.816,0.35637,0.20474,0.90163,0.99701,1,0.995,0.94785,0.3594,0.2134,0.80323,0.0001388,0.0001388,0.0001388
143,272.732,0.34025,0.19806,0.89296,0.99875,1,0.995,0.95305,0.34545,0.21502,0.79913,0.0001256,0.0001256,0.0001256
144,274.652,0.34211,0.19744,0.88257,0.99877,1,0.995,0.95019,0.35691,0.21881,0.80266,0.0001124,0.0001124,0.0001124
145,276.565,0.3392,0.19393,0.89153,0.99879,1,0.995,0.95609,0.35793,0.22416,0.80203,9.92e-05,9.92e-05,9.92e-05
146,278.483,0.34365,0.19533,0.88201,0.99876,1,0.995,0.95642,0.3428,0.21761,0.79805,8.6e-05,8.6e-05,8.6e-05
147,280.429,0.33765,0.19017,0.89316,0.99836,1,0.995,0.9563,0.34919,0.2196,0.80332,7.28e-05,7.28e-05,7.28e-05
148,282.397,0.33696,0.19157,0.89105,0.99876,1,0.995,0.96575,0.33352,0.21613,0.79823,5.96e-05,5.96e-05,5.96e-05
149,284.334,0.34128,0.19291,0.8928,0.99877,1,0.995,0.95925,0.33115,0.21417,0.79821,4.64e-05,4.64e-05,4.64e-05
150,286.276,0.32597,0.19003,0.87903,0.99877,1,0.995,0.96317,0.34048,0.21584,0.80178,3.32e-05,3.32e-05,3.32e-05
